,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
378,Oum Hadjer,TD,13.3,19.7,84.38,62,29,8.48,1598200129
379,Maltahohe,NA,-24.83,16.98,71.47,18,0,0.18,1598200129
380,Youghal,IE,51.95,-7.85,66,67,75,13.87,1598200129
381,Marsh Harbour,BS,26.54,-77.06,86.23,75,62,20.04,1598200130
382,Vostok,RU,46.49,135.88,54.12,90,100,3.71,1598200130
383,Waipawa,NZ,-41.41,175.52,51.8,93,97,18.34,1598200130
384,Talnakh,RU,69.49,88.4,57.2,93,100,6.71,1598200130
385,Markova,UA,48.68,24.41,77,69,40,6.71,1598200130
386,Cabras,IT,39.93,8.53,79.27,53,26,17.13,1598200040
387,Leningradskiy,RU,69.38,178.42,43.43,90,100,9.95,1598200130
388,Mandera,KE,3.94,41.87,85.89,43,97,13.76,1598200130
389,Colares,PT,38.8,-9.45,78.01,50,0,29.97,1598200130
390,Urzhum,RU,57.11,50,62.42,87,1,5.41,1598200131
391,Palmer,US,42.16,-72.33,89.01,48,20,11.41,1598200131
392,Vangaindrano,MG,-23.35,47.6,67.53,84,0,7.47,1598200131
393,Peleduy,RU,59.63,112.74,54.18,60,0,8.43,1598200131
394,Suez,EG,29.97,32.53,90.7,29,0,18.39,1598200131
395,Stykkisholmur,IS,65.08,-22.73,53.28,64,63,5.68,1598200131
396,Kondagaon,IN,19.6,81.67,73.53,93,93,3.38,1598199978
397,Tinskoy,RU,56.15,96.92,55.17,78,41,2.98,1598200131
398,Buala,SB,-8.14,159.59,78.06,88,100,8.32,1598200132
399,Hattiesburg,US,31.33,-89.29,84.99,74,20,5.82,1598200132
400,Marawi,PH,8,124.29,78.01,89,29,5.01,1598200132
401,Outlook,CA,51.5,-107.05,68,47,53,3,1598200132
402,Pangnirtung,CA,66.15,-65.71,42.8,93,90,10.29,1598200132
403,Cayon,KN,17.35,-62.73,88,70,20,18.34,1598200132
404,Hay River,CA,60.82,-115.8,57.2,76,75,6.93,1598200132
405,Kanakeravan,AM,40.25,44.53,69.8,52,20,1.12,1598200132
406,Amahai,ID,-3.33,128.92,76.42,83,89,4.54,1598200133
407,Rawson,AR,-43.3,-65.1,62.35,31,70,8.34,1598200133
408,Vyazemskiy,RU,47.54,134.75,61.21,87,84,3.87,1598200133
409,Laguna,US,38.42,-121.42,75.99,56,1,4.7,1598200133
410,Lakes Entrance,AU,-37.88,147.98,46,81,98,1.01,1598200133
411,Marigot,MF,18.07,-63.08,87.8,70,40,10.29,1598199925
412,Ponta Delgada,PT,37.73,-25.67,77,73,20,14.99,1598200134
413,Knysna,ZA,-34.04,23.05,59,77,75,3.36,1598200134
414,Irgakly,RU,44.36,44.76,72.28,35,85,5.95,1598200134
415,Abomey-Calavi,BJ,6.45,2.36,82.4,74,40,13.87,1598200134
416,Portobelo,PA,9.55,-79.65,87.01,79,16,5.99,1598200134
417,Dubrovnik,HR,42.65,18.09,80.6,74,20,8.05,1598200041
418,Caravelas,BR,-17.71,-39.25,68.58,88,100,12.77,1598200134
419,Worland,US,44.02,-107.96,75,43,1,2.06,1598200135
420,Dzilam Gonzalez,MX,21.28,-88.93,91.65,54,58,2.8,1598200135
421,Newport,GB,51.59,-3,66,67,96,3,1598200050
422,Anqiu,CN,36.43,119.19,75.31,95,59,11.59,1598200135
423,Sesheke,ZM,-17.48,24.3,78.8,27,26,5.82,1598200135
424,Ugoofaaru,MV,5.67,73,84.33,64,95,2.55,1598200135
425,Grand Gaube,MU,-20.01,57.66,72,68,22,7,1598200136
426,Atar,MR,20.52,-13.05,115.43,7,0,6.93,1598200136
427,Guerrero Negro,MX,27.98,-114.06,79.16,59,88,14.23,1598200136
428,Bandundu,CD,-3.32,17.37,84.72,57,98,4.32,1598200136
429,Dabat,ET,12.98,37.77,57.38,100,74,4.74,1598200136
430,Nemuro,JP,43.32,145.57,62.42,97,13,2.08,1598200136
431,El Cope,PA,8.62,-80.6,82.56,65,0,1.03,1598200136
432,Sabang,ID,5.89,95.32,84.16,67,10,4.07,1598200137
433,Airai,TL,-8.93,125.41,56.97,40,49,4.12,1598200137
434,Kjopsvik,NO,68.1,16.37,55,87,75,34.45,1598200137
435,La Ronge,CA,55.1,-105.28,62.6,63,75,17.22,1598199963
436,Singleton,AU,-32.57,151.18,48.99,71,2,12.01,1598200137
437,Shrirangapattana,IN,12.41,76.7,75.2,83,40,6.93,1598200137
438,Trinidad,BO,-14.83,-64.9,73.4,49,0,1.61,1598200109
439,Westport,US,41.14,-73.36,84.99,69,1,6.93,1598199904
440,Gornyy,RU,55.12,83.91,54,92,72,6.46,1598200138
441,Purificacion,CO,3.86,-74.93,83.08,55,45,3.06,1598200138
442,Saint-Louis,SN,16.33,-15,100.4,45,20,4.7,1598200138
443,Baker City,US,44.77,-117.83,66.99,68,1,1.25,1598200130
444,Comodoro Rivadavia,AR,-45.87,-67.5,60.8,38,98,13.87,1598200062
445,Oistins,BB,13.07,-59.53,86,74,75,13.87,1598199878
446,Burns Lake,CA,54.23,-125.75,49.57,72,39,2.93,1598200139
447,Shaunavon,CA,49.65,-108.42,66.31,44,0,12.46,1598200139
448,Zabol,AF,32.25,67.25,76.44,17,0,9.08,1598199964
449,Valdivia,CL,-39.81,-73.25,46.4,100,90,1.12,1598200034
450,Saravan,AM,39.72,45.65,64.4,88,90,4.7,1598200139
451,Kirakira,SB,-10.45,161.92,79.81,81,96,7.76,1598200139
452,Bida,NG,9.08,6.02,83.32,76,100,3.47,1598200139
453,Honningsvag,NO,70.98,25.97,60.8,77,40,10.29,1598200139
454,Gushikawa,JP,26.35,127.87,82.4,83,75,19.46,1598200140
455,Sechura,PE,-5.56,-80.82,71.8,54,3,10.4,1598200140
456,Haines Junction,CA,60.75,-137.51,51.37,76,89,2.48,1598200140
457,Jibuti,DJ,11.5,42.5,91.4,66,20,7.18,1598200140
458,Bowling Green,US,36.99,-86.44,78.8,74,90,5.82,1598200140
459,Baruun-Urt,MN,46.68,113.28,57.69,84,61,3.06,1598200140
460,Delvada,IN,20.77,71.03,79.21,89,100,13.87,1598200140
461,Jamame,SO,0.07,42.75,76.23,74,83,11.1,1598200141
462,Fortuna,US,40.6,-124.16,60.01,100,90,2.17,1598200141
463,Samarai,PG,-10.62,150.67,75.45,76,100,14.09,1598200141
464,Troitskiy,RU,57.06,63.75,53.94,93,6,5.44,1598200141
465,Muzhi,RU,65.37,64.67,52.74,79,33,7.07,1598200141
466,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,90.36,41,0,2.82,1598200141
467,Kemijarvi,FI,66.71,27.43,62.2,72,91,13.11,1598200142
468,Gonbad-E Qabus,IR,37.25,55.17,78.8,65,75,11.41,1598200142
469,Aseri,EE,59.45,26.87,66.4,81,100,8.93,1598200142
470,Kindu,CD,-2.95,25.95,72.55,92,100,4.45,1598200142
471,Bongor,TD,10.28,15.37,79.34,85,91,6.89,1598200142
472,Yar-Sale,RU,66.83,70.83,54.1,91,64,12.39,1598200142
473,Quthing,LS,-30.4,27.7,55.49,32,0,3.06,1598200142
474,Freeport,US,40.66,-73.58,84.99,65,1,9.17,1598200092
475,Shihezi,CN,44.3,86.03,79.65,20,71,5.82,1598200143
476,Caldwell,US,43.66,-116.69,72,68,1,2.55,1598200143
477,Tutoia,BR,-2.76,-42.27,86.02,59,18,14.88,1598200143
478,Hamilton,US,39.18,-84.53,82,69,40,4.45,1598200143
479,Lodingen,NO,68.41,16,55,87,75,34.45,1598200143
480,Tres Arroyos,AR,-38.37,-60.28,60.48,44,0,19.24,1598200143
481,Sola,VU,-13.88,167.55,80.26,85,92,14.83,1598200143
482,Council Bluffs,US,41.26,-95.86,89.6,46,20,6.93,1598199859
483,Kismayo,SO,-0.36,42.55,77.16,76,69,14.54,1598199908
484,Sabha,LY,27.04,14.43,94.73,13,0,13.53,1598200144
485,Mirnyy,RU,62.54,113.96,44.6,66,0,4.47,1598200144
486,Kenai,US,60.55,-151.26,57.2,82,75,3.36,1598200144
487,Kaeo,NZ,-35.1,173.78,55,3,0,11.01,1598200144
488,Fukue,JP,32.69,128.84,82.35,69,0,2.55,1598200144
489,Venado Tuerto,AR,-33.75,-61.97,64.09,36,0,18.05,1598200144
490,Palmetto,US,27.52,-82.57,91.4,66,75,13.87,1598200145
491,Kota Tinggi,MY,1.74,103.9,75.2,94,20,3.36,1598200145
492,Yuzhno-Kurilsk,RU,44.03,145.86,61.39,94,76,3.38,1598200145
493,Bathsheba,BB,13.22,-59.52,86,74,75,13.87,1598200145
494,Manaure,CO,11.78,-72.44,89.6,62,40,4.7,1598200145
495,Miri,MY,4.41,114.01,78.01,94,40,3.36,1598200145
496,Arawa,PG,-6.21,155.54,75.65,86,100,1.59,1598200146
497,Bantogon,PH,6.53,124.03,77.85,83,4,3.87,1598200146
498,Golden,US,39.76,-105.22,81,15,5,6.93,1598200146
499,Kimbe,PG,-5.55,150.14,73.11,93,100,2.73,1598200146
500,Svolvaer,NO,68.23,14.57,55,87,75,32.21,1598200146
501,Ajdovscina,SI,45.89,13.91,82,52,29,21,1598200146
502,Hambantota,LK,6.12,81.12,80.6,94,20,9.17,1598200146
503,Hannibal,US,39.71,-91.36,84.2,48,75,8.05,1598200147
504,Skibbereen,IE,51.55,-9.27,62.6,67,75,13.87,1598200147
505,Cherskiy,RU,68.75,161.3,38.19,94,100,14.92,1598200147
506,Pascagoula,US,30.37,-88.56,87.8,62,20,9.17,1598200147
507,Belyy Yar,RU,53.6,91.39,62.6,63,99,15.66,1598200147
508,Klaksvik,FO,62.23,-6.59,50,76,89,17.22,1598200147
509,Chepareria,KE,1.31,35.2,64.02,77,13,1.88,1598200148
510,Adrar,MR,20.5,-10.07,112.51,6,94,11.43,1598200148
511,Merrill,US,45.18,-89.68,78.8,69,1,4.7,1598200148
512,Yerbogachen,RU,61.28,108.01,49.78,62,59,7.18,1598200148
513,Stulovo,RU,58.72,50.14,61.38,85,21,4.68,1598200148
514,Saint Anthony,US,45.02,-93.22,84.99,69,1,3.36,1598200148
515,Lakselv,NO,70.05,24.97,64.4,63,75,21.92,1598200149
516,Sabana De Torres,CO,7.39,-73.5,78.8,83,75,4.7,1598200149
517,Tevaitoa,PF,-16.78,-151.5,76.84,76,0,19.8,1598200149
518,Ariquemes,BR,-9.91,-63.04,100.31,21,0,1.19,1598199958
519,Sucua,EC,-2.47,-78.17,69.8,68,75,6.93,1598200149
520,Kashi,CN,39.45,75.98,84.2,32,0,6.71,1598200149
521,College,US,64.86,-147.8,54,93,75,2.04,1598200149
522,Wonthaggi,AU,-38.6,145.59,46,95,80,7,1598200150
523,Shimoda,JP,34.67,138.95,70,93,26,7.14,1598200150
524,Bridlington,GB,54.08,-0.19,62.6,93,72,11.41,1598200150
525,Humaita,BR,-7.51,-63.02,96.01,24,0,2.33,1598200150
526,Kulhudhuffushi,MV,6.62,73.07,84.36,69,55,8.28,1598200150
527,Goma,CD,-1.68,29.22,77,44,75,3.36,1598200150
528,Saint-Georges,GD,12.06,-61.75,82.4,88,20,12.62,1598200126
529,Kui Buri,TH,12.08,99.85,77.22,77,40,6.29,1598200151
530,Malindi,KE,-3.22,40.12,78.8,74,40,11.41,1598200151
531,Sorland,NO,67.67,12.69,51.8,87,75,18.34,1598200151
532,Chateaubelair,VC,13.28,-61.25,87.8,70,75,5.82,1598200151
533,Tchibanga,GA,-2.85,11.03,79.18,62,96,8.43,1598200151
534,Puerto Ayacucho,VE,5.66,-67.62,84.2,62,40,5.82,1598200151
535,Poum,NC,-20.23,164.02,71.92,81,79,12.55,1598200151
536,Henties Bay,NA,-22.12,14.28,64,76,0,1.99,1598200152
537,Paulo Ramos,BR,-4.22,-45.18,98.17,37,46,3.13,1598200152
538,Maceio,BR,-9.67,-35.74,82.4,61,40,4.7,1598200152
539,Hovd,MN,48.01,91.64,63.37,38,51,9.98,1598200152
540,Port Arthur,CN,38.8,121.27,77,88,40,6.71,1598200152
541,Aloja,LV,57.77,24.88,65.17,85,100,7.56,1598200152
542,Florence,IT,43.77,11.25,93.2,34,0,9.17,1598200153
543,Nyurba,RU,63.28,118.33,42.17,75,0,3.27,1598200153
544,Presov,SK,49.17,21.25,68,88,75,9.17,1598200153
545,Namatanai,PG,-3.67,152.43,77.65,86,99,4.45,1598200153
546,Dingle,PH,11,122.67,77.07,87,91,1.92,1598200153
547,Yakeshi,CN,49.28,120.73,55.72,92,96,3.76,1598200153
548,Manta,EC,-0.95,-80.73,73.4,83,90,9.17,1598200153
549,Dormidontovka,RU,47.77,134.91,60.76,90,92,4.76,1598200154
550,Vardo,NO,70.37,31.11,57.2,87,100,11.41,1598200154
551,Taoudenni,ML,22.68,-3.98,116.01,5,34,17.45,1598200154
552,Gatchina,RU,59.58,30.13,66.2,68,90,2.24,1598200154
553,Kununurra,AU,-15.77,128.73,62.6,22,1,8.21,1598200154
554,Lakhimpur,IN,27.95,80.77,81.54,78,0,2.93,1598200154
555,Rafraf,TN,37.19,10.18,89.6,55,20,21.92,1598200154
556,Oranjestad,AW,12.52,-70.03,89.6,62,20,14.99,1598200045
557,Matay,EG,28.42,30.78,96.82,18,0,12.03,1598200155
558,Bluefield,US,37.27,-81.22,78.01,73,20,3.6,1598199952
559,Maumere,ID,-8.62,122.21,76.17,76,19,0.47,1598200155
560,Serebryansk,KZ,49.69,83.29,55.4,71,20,4.47,1598200155
561,Libreville,GA,0.39,9.45,82.4,74,40,10.29,1598199904
562,Viedma,AR,-40.81,-63,64.99,28,8,8.99,1598200155
